case_folding,cleaned,normalization,tokenize,remove_stopwords,text_string_lemma,sentimen
"oveall dari deskripsi mengenai produk somethinc paket skincare pilihan 2 pcs ini adalah easy to use, ready to be glowing in the dark dan juga ini anti aging alias dirimu ga mungkin mengalami penuaan dini xixi jadi awet muda terus deh",oveall dari deskripsi mengenai produk somethinc paket skincare pilihan pcs ini adalah easy to use ready to be glowing in the dark dan juga ini anti aging alias dirimu ga mungkin mengalami penuaan dini xixi jadi awet muda terus deh,oveall dari deskripsi mengenai produk somethinc paket skincare pilihan pcs ini adalah easy tapi use ready tapi be glowing ini the dark dan juga ini anti aging alias dirimu enggak mungkin mengalami penuaan dini xixi jadi awet muda terus deh,"['oveall', 'dari', 'deskripsi', 'mengenai', 'produk', 'somethinc', 'paket', 'skincare', 'pilihan', 'pcs', 'ini', 'adalah', 'easy', 'tapi', 'use', 'ready', 'tapi', 'be', 'glowing', 'ini', 'the', 'dark', 'dan', 'juga', 'ini', 'anti', 'aging', 'alias', 'dirimu', 'enggak', 'mungkin', 'mengalami', 'penuaan', 'dini', 'xixi', 'jadi', 'awet', 'muda', 'terus', 'deh']","['oveall', 'deskripsi', 'mengenai', 'produk', 'somethinc', 'paket', 'skincare', 'pilihan', 'pcs', 'easy', 'use', 'ready', 'be', 'glowing', 'the', 'dark', 'anti', 'aging', 'alias', 'dirimu', 'enggak', 'mungkin', 'mengalami', 'penuaan', 'dini', 'xixi', 'jadi', 'awet', 'muda', 'terus', 'deh']",oveall deskripsi mengenai produk somethinc paket skincare pilihan pcs easy use ready be glowing the dark anti aging alias dirimu enggak mungkin mengalami penuaan dini xixi jadi awet muda terus deh,2
"respon baik, thankyou. bagus produknya.",respon baik thankyou bagus produknya,respon baik thankyou bagus produknya,"['respon', 'baik', 'thankyou', 'bagus', 'produknya']","['respon', 'baik', 'thankyou', 'bagus', 'produknya']",respon baik thankyou bagus produknya,2
bagus...,bagus,bagus,['bagus'],['bagus'],bagus,2
rekomended sekali produk somethinc. terimakasih seller,rekomended sekali produk somethinc terimakasih seller,rekomended sekali produk somethinc terima kasih seller,"['rekomended', 'sekali', 'produk', 'somethinc', 'terima', 'kasih', 'seller']","['rekomended', 'sekali', 'produk', 'somethinc', 'terima', 'kasih', 'seller']",rekomended sekali produk somethinc terima kasih seller,2
"tipe kulitku kering, cocok",tipe kulitku kering cocok,tipe kulitku kering cocok,"['tipe', 'kulitku', 'kering', 'cocok']","['tipe', 'kulitku', 'kering', 'cocok']",tipe kulitku kering cocok,2
"tipe kulitku sensitif. tipe kulitku kering. masalah kulitku kerutan. makasih paket sampai, udah dicoba dan bikin kulit saya recovery dr masalah bruntusan dan kering.",tipe kulitku sensitif tipe kulitku kering masalah kulitku kerutan makasih paket sampai udah dicoba dan bikin kulit saya recovery dr masalah bruntusan dan kering,tipe kulitku sensitif tipe kulitku kering masalah kulitku kerutan terima kasih paket sampai sudah dicoba dan bikin kulit saya recovery dari masalah bruntusan dan kering,"['tipe', 'kulitku', 'sensitif', 'tipe', 'kulitku', 'kering', 'masalah', 'kulitku', 'kerutan', 'terima', 'kasih', 'paket', 'sampai', 'sudah', 'dicoba', 'dan', 'bikin', 'kulit', 'saya', 'recovery', 'dari', 'masalah', 'bruntusan', 'dan', 'kering']","['tipe', 'kulitku', 'sensitif', 'tipe', 'kulitku', 'kering', 'masalah', 'kulitku', 'kerutan', 'terima', 'kasih', 'paket', 'dicoba', 'bikin', 'kulit', 'recovery', 'masalah', 'bruntusan', 'kering']",tipe kulitku sensitif tipe kulitku kering masalah kulitku kerutan terima kasih paket dicoba bikin kulit recovery masalah bruntusan kering,0
bagus produk nya,bagus produk nya,bagus produk nya,"['bagus', 'produk', 'nya']","['bagus', 'produk', 'nya']",bagus produk nya,2
in syaa allah sesuai,in syaa allah sesuai,ini syaa allah sesuai,"['ini', 'syaa', 'allah', 'sesuai']","['syaa', 'allah', 'sesuai']",syaa allah sesuai,2
help knp kalo belanja disini selalu dapat freebies 😭😭 love you somethinc,help knp kalo belanja disini selalu dapat freebies love you somethinc,help kenapa kalo belanja disini selalu dapat freebies love you somethinc,"['help', 'kenapa', 'kalo', 'belanja', 'disini', 'selalu', 'dapat', 'freebies', 'love', 'you', 'somethinc']","['help', 'kalo', 'belanja', 'disini', 'selalu', 'freebies', 'love', 'you', 'somethinc']",help kalo belanja disini selalu freebies love you somethinc,0
kinda crack dan susah bgt ngeblend,kinda crack dan susah bgt ngeblend,kinda crack dan susah banget ngeblend,"['kinda', 'crack', 'dan', 'susah', 'banget', 'ngeblend']","['kinda', 'crack', 'susah', 'banget', 'ngeblend']",kinda crack susah banget ngeblend,0
ngebantu banget untuk wajah yang lagi breakout sangat menenangkan ♥️,ngebantu banget untuk wajah yang lagi breakout sangat menenangkan,membantu banget untuk wajah yang lagi breakout sangat menenangkan,"['membantu', 'banget', 'untuk', 'wajah', 'yang', 'lagi', 'breakout', 'sangat', 'menenangkan']","['membantu', 'banget', 'wajah', 'breakout', 'sangat', 'menenangkan']",membantu banget wajah breakout sangat menenangkan,0
highlighter terkeren,highlighter terkeren,highlighter terkeren,"['highlighter', 'terkeren']","['highlighter', 'terkeren']",highlighter terkeren,0
baru coba diamond serumnya. apalagi dilayer vitamin c. thanks bonus bonusnya <3,baru coba diamond serumnya apalagi dilayer vitamin thanks bonus bonusnya,baru coba diamond serumnya apalagi dilayer vitamin thanks bonus bonusnya,"['baru', 'coba', 'diamond', 'serumnya', 'apalagi', 'dilayer', 'vitamin', 'thanks', 'bonus', 'bonusnya']","['baru', 'coba', 'diamond', 'serumnya', 'dilayer', 'vitamin', 'thanks', 'bonus', 'bonusnya']",baru coba diamond serumnya dilayer vitamin thanks bonus bonusnya,2
"pernah coba niacinamide barrier serum ini sebelumnya. cocok di kulitku, cepet nyerap. barrier makin sehat juga. pas pertama pake itu agak lengket. tapi sekarang pas udah mau habis, ga lengket. mungkin harus dikocok dulu ya, atau mungkin muka ku jadi udah makin terbiasa pake serum ini. tapi langsung cocok kok. thanks bonus-bonusnya <3",pernah coba niacinamide barrier serum ini sebelumnya cocok di kulitku cepet nyerap barrier makin sehat juga pas pertama pake itu agak lengket tapi sekarang pas udah mau habis ga lengket mungkin harus dikocok dulu ya atau mungkin muka ku jadi udah makin terbiasa pake serum ini tapi langsung cocok kok thanks bonus bonusnya,pernah coba niacinamide barrier serum ini sebelumnya cocok di kulitku cepat nyerap barrier makin sehat juga pas pertama pakai itu agak lengket tapi sekarang pas sudah mau habis enggak lengket mungkin harus dikocok dulu ya atau mungkin muka ku jadi sudah makin terbiasa pakai serum ini tapi langsung cocok kok thanks bonus bonusnya,"['pernah', 'coba', 'niacinamide', 'barrier', 'serum', 'ini', 'sebelumnya', 'cocok', 'di', 'kulitku', 'cepat', 'nyerap', 'barrier', 'makin', 'sehat', 'juga', 'pas', 'pertama', 'pakai', 'itu', 'agak', 'lengket', 'tapi', 'sekarang', 'pas', 'sudah', 'mau', 'habis', 'enggak', 'lengket', 'mungkin', 'harus', 'dikocok', 'dulu', 'ya', 'atau', 'mungkin', 'muka', 'ku', 'jadi', 'sudah', 'makin', 'terbiasa', 'pakai', 'serum', 'ini', 'tapi', 'langsung', 'cocok', 'kok', 'thanks', 'bonus', 'bonusnya']","['pernah', 'coba', 'niacinamide', 'barrier', 'serum', 'sebelumnya', 'cocok', 'kulitku', 'cepat', 'nyerap', 'barrier', 'makin', 'sehat', 'pas', 'pertama', 'pakai', 'lengket', 'sekarang', 'pas', 'mau', 'habis', 'enggak', 'lengket', 'mungkin', 'dikocok', 'dulu', 'mungkin', 'muka', 'ku', 'jadi', 'makin', 'terbiasa', 'pakai', 'serum', 'langsung', 'cocok', 'kok', 'thanks', 'bonus', 'bonusnya']",pernah coba niacinamide barrier serum sebelumnya cocok kulitku cepat nyerap barrier makin sehat pas pertama pakai lengket sekarang pas mau habis enggak lengket mungkin dikocok dulu mungkin muka ku jadi makin terbiasa pakai serum langsung cocok kok thanks bonus bonusnya,2
tipe kulitku berminyak tipe kulitku kering tipe kulitku normal tipe kulitku kombinasi masalah kulitku kerutan masalah kulitku pori besar,tipe kulitku berminyak tipe kulitku kering tipe kulitku normal tipe kulitku kombinasi masalah kulitku kerutan masalah kulitku pori besar,tipe kulitku berminyak tipe kulitku kering tipe kulitku normal tipe kulitku kombinasi masalah kulitku kerutan masalah kulitku pori besar,"['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'kering', 'tipe', 'kulitku', 'normal', 'tipe', 'kulitku', 'kombinasi', 'masalah', 'kulitku', 'kerutan', 'masalah', 'kulitku', 'pori', 'besar']","['tipe', 'kulitku', 'berminyak', 'tipe', 'kulitku', 'kering', 'tipe', 'kulitku', 'normal', 'tipe', 'kulitku', 'kombinasi', 'masalah', 'kulitku', 'kerutan', 'masalah', 'kulitku', 'pori', 'besar']",tipe kulitku berminyak tipe kulitku kering tipe kulitku normal tipe kulitku kombinasi masalah kulitku kerutan masalah kulitku pori besar,0
tipe kulitku normal tipe kulitku kombinasi masalah kulitku jerawat masalah kulitku kerutan masalah kulitku pori besar tipe kulitku sensitif tipe kulitku berminyak,tipe kulitku normal tipe kulitku kombinasi masalah kulitku jerawat masalah kulitku kerutan masalah kulitku pori besar tipe kulitku sensitif tipe kulitku berminyak,tipe kulitku normal tipe kulitku kombinasi masalah kulitku jerawat masalah kulitku kerutan masalah kulitku pori besar tipe kulitku sensitif tipe kulitku berminyak,"['tipe', 'kulitku', 'normal', 'tipe', 'kulitku', 'kombinasi', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'kerutan', 'masalah', 'kulitku', 'pori', 'besar', 'tipe', 'kulitku', 'sensitif', 'tipe', 'kulitku', 'berminyak']","['tipe', 'kulitku', 'normal', 'tipe', 'kulitku', 'kombinasi', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'kerutan', 'masalah', 'kulitku', 'pori', 'besar', 'tipe', 'kulitku', 'sensitif', 'tipe', 'kulitku', 'berminyak']",tipe kulitku normal tipe kulitku kombinasi masalah kulitku jerawat masalah kulitku kerutan masalah kulitku pori besar tipe kulitku sensitif tipe kulitku berminyak,0
tipe kulitku normal tipe kulitku sensitif masalah kulitku jerawat masalah kulitku kerutan,tipe kulitku normal tipe kulitku sensitif masalah kulitku jerawat masalah kulitku kerutan,tipe kulitku normal tipe kulitku sensitif masalah kulitku jerawat masalah kulitku kerutan,"['tipe', 'kulitku', 'normal', 'tipe', 'kulitku', 'sensitif', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'kerutan']","['tipe', 'kulitku', 'normal', 'tipe', 'kulitku', 'sensitif', 'masalah', 'kulitku', 'jerawat', 'masalah', 'kulitku', 'kerutan']",tipe kulitku normal tipe kulitku sensitif masalah kulitku jerawat masalah kulitku kerutan,0
"tipe kulitku sensitif. aku coba2 aja co shade ini karena pernah nyobain yg fair light ternyata terlalu putih, dan kedua warna ini tuh cocok di kulitku! aku pake dari pagi pas tengah hari masih ada :d keren. besok2 mau coba co cushion yg hooman nya jg siapa tahu lebih cocok daripada yg ini. oh! dan aku dapet kedua ini tuh cuma 140an (dapet chasback dr tokonya 20k). 👍",tipe kulitku sensitif aku coba aja co shade ini karena pernah nyobain yg fair light ternyata terlalu putih dan kedua warna ini tuh cocok di kulitku aku pake dari pagi pas tengah hari masih ada keren besok mau coba co cushion yg hooman nya jg siapa tahu lebih cocok daripada yg ini oh dan aku dapet kedua ini tuh cuma an dapet chasback dr tokonya,tipe kulitku sensitif aku coba saja checkout shade ini karena pernah mencoba yang fair light ternyata terlalu putih dan kedua warna ini tuh cocok di kulitku aku pakai dari pagi pas tengah hari masih ada keren besok mau coba checkout cushion yang hooman nya juga siapa tahu lebih cocok daripada yang ini oh dan aku dapat kedua ini tuh cuma an dapat chasback dari tokonya,"['tipe', 'kulitku', 'sensitif', 'aku', 'coba', 'saja', 'checkout', 'shade', 'ini', 'karena', 'pernah', 'mencoba', 'yang', 'fair', 'light', 'ternyata', 'terlalu', 'putih', 'dan', 'kedua', 'warna', 'ini', 'tuh', 'cocok', 'di', 'kulitku', 'aku', 'pakai', 'dari', 'pagi', 'pas', 'tengah', 'hari', 'masih', 'ada', 'keren', 'besok', 'mau', 'coba', 'checkout', 'cushion', 'yang', 'hooman', 'nya', 'juga', 'siapa', 'tahu', 'lebih', 'cocok', 'daripada', 'yang', 'ini', 'oh', 'dan', 'aku', 'dapat', 'kedua', 'ini', 'tuh', 'cuma', 'an', 'dapat', 'chasback', 'dari', 'tokonya']","['tipe', 'kulitku', 'sensitif', 'aku', 'coba', 'checkout', 'shade', 'pernah', 'mencoba', 'fair', 'light', 'ternyata', 'terlalu', 'putih', 'kedua', 'warna', 'tuh', 'cocok', 'kulitku', 'aku', 'pakai', 'pagi', 'pas', 'tengah', 'hari', 'keren', 'besok', 'mau', 'coba', 'checkout', 'cushion', 'hooman', 'nya', 'siapa', 'tahu', 'lebih', 'cocok', 'aku', 'kedua', 'tuh', 'cuma', 'an', 'chasback', 'tokonya']",tipe kulitku sensitif aku coba checkout shade pernah mencoba fair light ternyata terlalu putih kedua warna tuh cocok kulitku aku pakai pagi pas tengah hari keren besok mau coba checkout cushion hooman nya siapa tahu lebih cocok aku kedua tuh cuma an chasback tokonya,2
"baru pertama kali mau coba, semoga cocok dan aman.
packing super aman, walaupun cuma beli 1, mantap.",baru pertama kali mau coba semoga cocok dan aman packing super aman walaupun cuma beli mantap,baru pertama kali mau coba semoga cocok dan aman packing super aman walaupun cuma beli mantap,"['baru', 'pertama', 'kali', 'mau', 'coba', 'semoga', 'cocok', 'dan', 'aman', 'packing', 'super', 'aman', 'walaupun', 'cuma', 'beli', 'mantap']","['baru', 'pertama', 'kali', 'mau', 'coba', 'semoga', 'cocok', 'aman', 'packing', 'super', 'aman', 'walaupun', 'cuma', 'beli', 'mantap']",baru pertama kali mau coba semoga cocok aman packing super aman walaupun cuma beli mantap,2
nice packaging dan dikasih freebies makasih,nice packaging dan dikasih freebies makasih,nice packaging dan dikasih freebies terima kasih,"['nice', 'packaging', 'dan', 'dikasih', 'freebies', 'terima', 'kasih']","['nice', 'packaging', 'dikasih', 'freebies', 'terima', 'kasih']",nice packaging dikasih freebies terima kasih,2
packaging okay & dikasih freebies ❤❤ thank you,packaging okay dikasih freebies thank you,packaging okay dikasih freebies thank you,"['packaging', 'okay', 'dikasih', 'freebies', 'thank', 'you']","['packaging', 'okay', 'dikasih', 'freebies', 'thank', 'you']",packaging okay dikasih freebies thank you,2
"alhmdulillah barang sampai dengan tepat waktu, blm di coba tapi semoga hasil nya memuaskan, bagus dan bisa order lagi",alhmdulillah barang sampai dengan tepat waktu blm di coba tapi semoga hasil nya memuaskan bagus dan bisa order lagi,alhmdulillah barang sampai dengan tepat waktu belum di coba tapi semoga hasil nya memuaskan bagus dan bisa order lagi,"['alhmdulillah', 'barang', 'sampai', 'dengan', 'tepat', 'waktu', 'belum', 'di', 'coba', 'tapi', 'semoga', 'hasil', 'nya', 'memuaskan', 'bagus', 'dan', 'bisa', 'order', 'lagi']","['alhmdulillah', 'barang', 'tepat', 'waktu', 'coba', 'semoga', 'hasil', 'nya', 'memuaskan', 'bagus', 'order']",alhmdulillah barang tepat waktu coba semoga hasil nya memuaskan bagus order,2
masalah kulitku jerawat tipe kulitku kombinasi tipe kulitku normal tipe kulitku berminyak masalah kulitku pori besar masalah kulitku kerutan tipe kulitku kering tipe kulitku sensitif,masalah kulitku jerawat tipe kulitku kombinasi tipe kulitku normal tipe kulitku berminyak masalah kulitku pori besar masalah kulitku kerutan tipe kulitku kering tipe kulitku sensitif,masalah kulitku jerawat tipe kulitku kombinasi tipe kulitku normal tipe kulitku berminyak masalah kulitku pori besar masalah kulitku kerutan tipe kulitku kering tipe kulitku sensitif,"['masalah', 'kulitku', 'jerawat', 'tipe', 'kulitku', 'kombinasi', 'tipe', 'kulitku', 'normal', 'tipe', 'kulitku', 'berminyak', 'masalah', 'kulitku', 'pori', 'besar', 'masalah', 'kulitku', 'kerutan', 'tipe', 'kulitku', 'kering', 'tipe', 'kulitku', 'sensitif']","['masalah', 'kulitku', 'jerawat', 'tipe', 'kulitku', 'kombinasi', 'tipe', 'kulitku', 'normal', 'tipe', 'kulitku', 'berminyak', 'masalah', 'kulitku', 'pori', 'besar', 'masalah', 'kulitku', 'kerutan', 'tipe', 'kulitku', 'kering', 'tipe', 'kulitku', 'sensitif']",masalah kulitku jerawat tipe kulitku kombinasi tipe kulitku normal tipe kulitku berminyak masalah kulitku pori besar masalah kulitku kerutan tipe kulitku kering tipe kulitku sensitif,0
tipe kulitku kering,tipe kulitku kering,tipe kulitku kering,"['tipe', 'kulitku', 'kering']","['tipe', 'kulitku', 'kering']",tipe kulitku kering,0
sampai dengan selamat. sudah sering pakai dan hasilnya glowing,sampai dengan selamat sudah sering pakai dan hasilnya glowing,sampai dengan selamat sudah sering pakai dan hasilnya glowing,"['sampai', 'dengan', 'selamat', 'sudah', 'sering', 'pakai', 'dan', 'hasilnya', 'glowing']","['selamat', 'sering', 'pakai', 'hasilnya', 'glowing']",selamat sering pakai hasilnya glowing,2
"pesennya hari senin sampe nya hari minggu,aku kira bakal dapet bonusnya",pesennya hari senin sampe nya hari minggu aku kira bakal dapet bonusnya,pesennya hari senin sampai nya hari minggu aku kira bakal dapat bonusnya,"['pesennya', 'hari', 'senin', 'sampai', 'nya', 'hari', 'minggu', 'aku', 'kira', 'bakal', 'dapat', 'bonusnya']","['pesennya', 'hari', 'senin', 'nya', 'hari', 'minggu', 'aku', 'kira', 'bakal', 'bonusnya']",pesennya hari senin nya hari minggu aku kira bakal bonusnya,2
"tipe kulitku berminyak, cocok untuk kulit berminyak",tipe kulitku berminyak cocok untuk kulit berminyak,tipe kulitku berminyak cocok untuk kulit berminyak,"['tipe', 'kulitku', 'berminyak', 'cocok', 'untuk', 'kulit', 'berminyak']","['tipe', 'kulitku', 'berminyak', 'cocok', 'kulit', 'berminyak']",tipe kulitku berminyak cocok kulit berminyak,2
mantap,mantap,mantap,['mantap'],['mantap'],mantap,2
repurchase kesekian kalinya karena suka bangetttt bikin lembab dan ingridients gak neko neko,repurchase kesekian kalinya karena suka bangetttt bikin lembab dan ingridients gak neko neko,repurchase kesekian kalinya karena suka banget bikin lembab dan ingridients enggak neko neko,"['repurchase', 'kesekian', 'kalinya', 'karena', 'suka', 'banget', 'bikin', 'lembab', 'dan', 'ingridients', 'enggak', 'neko', 'neko']","['repurchase', 'kesekian', 'kalinya', 'suka', 'banget', 'bikin', 'lembab', 'ingridients', 'enggak', 'neko', 'neko']",repurchase kesekian kalinya suka banget bikin lembab ingridients enggak neko neko,1
kurang cocok buat yang bibirnya kering. jadi makin kering :(,kurang cocok buat yang bibirnya kering jadi makin kering,kurang cocok buat yang bibirnya kering jadi makin kering,"['kurang', 'cocok', 'buat', 'yang', 'bibirnya', 'kering', 'jadi', 'makin', 'kering']","['kurang', 'cocok', 'buat', 'bibirnya', 'kering', 'jadi', 'makin', 'kering']",kurang cocok buat bibirnya kering jadi makin kering,2
"warna cocok, tapi ketika set jadinya kering banget",warna cocok tapi ketika set jadinya kering banget,warna cocok tapi ketika set jadinya kering banget,"['warna', 'cocok', 'tapi', 'ketika', 'set', 'jadinya', 'kering', 'banget']","['warna', 'cocok', 'set', 'jadinya', 'kering', 'banget']",warna cocok set jadinya kering banget,2
"terima kasih ya kak paket sudah sampai.
packingan ok dan cepat sampai. serumnya oke. terima kasih juga bonusnya ya kak.",terima kasih ya kak paket sudah sampai packingan ok dan cepat sampai serumnya oke terima kasih juga bonusnya ya kak,terima kasih ya kak paket sudah sampai packingan ok dan cepat sampai serumnya oke terima kasih juga bonusnya ya kak,"['terima', 'kasih', 'ya', 'kak', 'paket', 'sudah', 'sampai', 'packingan', 'ok', 'dan', 'cepat', 'sampai', 'serumnya', 'oke', 'terima', 'kasih', 'juga', 'bonusnya', 'ya', 'kak']","['terima', 'kasih', 'kak', 'paket', 'packingan', 'cepat', 'serumnya', 'oke', 'terima', 'kasih', 'bonusnya', 'kak']",terima kasih kak paket packingan cepat serumnya oke terima kasih bonusnya kak,2
"terima kasih ya kak paket sudah sampai.
packingan ok dan cepat sampai.
tekstur bedak lembut dan ringan.  terima kasih juga bonusnya ya kak.",terima kasih ya kak paket sudah sampai packingan ok dan cepat sampai tekstur bedak lembut dan ringan terima kasih juga bonusnya ya kak,terima kasih ya kak paket sudah sampai packingan ok dan cepat sampai tekstur bedak lembut dan ringan terima kasih juga bonusnya ya kak,"['terima', 'kasih', 'ya', 'kak', 'paket', 'sudah', 'sampai', 'packingan', 'ok', 'dan', 'cepat', 'sampai', 'tekstur', 'bedak', 'lembut', 'dan', 'ringan', 'terima', 'kasih', 'juga', 'bonusnya', 'ya', 'kak']","['terima', 'kasih', 'kak', 'paket', 'packingan', 'cepat', 'tekstur', 'bedak', 'lembut', 'ringan', 'terima', 'kasih', 'bonusnya', 'kak']",terima kasih kak paket packingan cepat tekstur bedak lembut ringan terima kasih bonusnya kak,2
"terima kasih ya kak paket sudah sampai.
packingan ok dan cepat sampai.
cocok di wajah saya, lembut, ga lengket.
terima kasih juga bonusnya ya kak",terima kasih ya kak paket sudah sampai packingan ok dan cepat sampai cocok di wajah saya lembut ga lengket terima kasih juga bonusnya ya kak,terima kasih ya kak paket sudah sampai packingan ok dan cepat sampai cocok di wajah saya lembut enggak lengket terima kasih juga bonusnya ya kak,"['terima', 'kasih', 'ya', 'kak', 'paket', 'sudah', 'sampai', 'packingan', 'ok', 'dan', 'cepat', 'sampai', 'cocok', 'di', 'wajah', 'saya', 'lembut', 'enggak', 'lengket', 'terima', 'kasih', 'juga', 'bonusnya', 'ya', 'kak']","['terima', 'kasih', 'kak', 'paket', 'packingan', 'cepat', 'cocok', 'wajah', 'lembut', 'enggak', 'lengket', 'terima', 'kasih', 'bonusnya', 'kak']",terima kasih kak paket packingan cepat cocok wajah lembut enggak lengket terima kasih bonusnya kak,2
"packing baik, belum aku coba mudah2an cocok sama kulit aku, kulit tipe kombinasi",packing baik belum aku coba mudahan cocok sama kulit aku kulit tipe kombinasi,packing baik belum aku coba mudahan cocok sama kulit aku kulit tipe kombinasi,"['packing', 'baik', 'belum', 'aku', 'coba', 'mudahan', 'cocok', 'sama', 'kulit', 'aku', 'kulit', 'tipe', 'kombinasi']","['packing', 'baik', 'aku', 'coba', 'mudahan', 'cocok', 'sama', 'kulit', 'aku', 'kulit', 'tipe', 'kombinasi']",packing baik aku coba mudahan cocok sama kulit aku kulit tipe kombinasi,2
"alhamdulillah cocok bngt pake ini..terimakasih sllu bkn puas,paking sllu rapi,expt msh lama..🙏❤️",alhamdulillah cocok bngt pake ini terimakasih sllu bkn puas paking sllu rapi expt msh lama,alhamdulillah cocok banget pakai ini terima kasih selalu bukan puas paking selalu rapi expt masih lama,"['alhamdulillah', 'cocok', 'banget', 'pakai', 'ini', 'terima', 'kasih', 'selalu', 'bukan', 'puas', 'paking', 'selalu', 'rapi', 'expt', 'masih', 'lama']","['alhamdulillah', 'cocok', 'banget', 'pakai', 'terima', 'kasih', 'selalu', 'bukan', 'puas', 'paking', 'selalu', 'rapi', 'expt', 'lama']",alhamdulillah cocok banget pakai terima kasih selalu bukan puas paking selalu rapi expt lama,2
"bedaknya uda repurchase kedua kali, cocok, dan minim transfer 
cushionnya baru mau coba, semoga cocok juga",bedaknya uda repurchase kedua kali cocok dan minim transfer cushionnya baru mau coba semoga cocok juga,bedaknya sudah repurchase kedua kali cocok dan minim transfer cushionnya baru mau coba semoga cocok juga,"['bedaknya', 'sudah', 'repurchase', 'kedua', 'kali', 'cocok', 'dan', 'minim', 'transfer', 'cushionnya', 'baru', 'mau', 'coba', 'semoga', 'cocok', 'juga']","['bedaknya', 'repurchase', 'kedua', 'kali', 'cocok', 'minim', 'transfer', 'cushionnya', 'baru', 'mau', 'coba', 'semoga', 'cocok']",bedaknya repurchase kedua kali cocok minim transfer cushionnya baru mau coba semoga cocok,2
harga 70rb mantapppp,harga rb mantapppp,harga ribu mantap,"['harga', 'ribu', 'mantap']","['harga', 'ribu', 'mantap']",harga ribu mantap,2
barang sudah diterima dengan baik. thanks gan,barang sudah diterima dengan baik thanks gan,barang sudah diterima dengan baik thanks gan,"['barang', 'sudah', 'diterima', 'dengan', 'baik', 'thanks', 'gan']","['barang', 'diterima', 'baik', 'thanks', 'gan']",barang diterima baik thanks gan,2
tipe kulitku kering tipe kulitku kombinasi tipe kulitku berminyak masalah kulitku jerawat tipe kulitku sensitif masalah kulitku kerutan tipe kulitku normal,tipe kulitku kering tipe kulitku kombinasi tipe kulitku berminyak masalah kulitku jerawat tipe kulitku sensitif masalah kulitku kerutan tipe kulitku normal,tipe kulitku kering tipe kulitku kombinasi tipe kulitku berminyak masalah kulitku jerawat tipe kulitku sensitif masalah kulitku kerutan tipe kulitku normal,"['tipe', 'kulitku', 'kering', 'tipe', 'kulitku', 'kombinasi', 'tipe', 'kulitku', 'berminyak', 'masalah', 'kulitku', 'jerawat', 'tipe', 'kulitku', 'sensitif', 'masalah', 'kulitku', 'kerutan', 'tipe', 'kulitku', 'normal']","['tipe', 'kulitku', 'kering', 'tipe', 'kulitku', 'kombinasi', 'tipe', 'kulitku', 'berminyak', 'masalah', 'kulitku', 'jerawat', 'tipe', 'kulitku', 'sensitif', 'masalah', 'kulitku', 'kerutan', 'tipe', 'kulitku', 'normal']",tipe kulitku kering tipe kulitku kombinasi tipe kulitku berminyak masalah kulitku jerawat tipe kulitku sensitif masalah kulitku kerutan tipe kulitku normal,0
"bahannya ringan,gampang di serap",bahannya ringan gampang di serap,bahannya ringan gampang di serap,"['bahannya', 'ringan', 'gampang', 'di', 'serap']","['bahannya', 'ringan', 'gampang', 'serap']",bahannya ringan gampang serap,1
ga tahan lama,ga tahan lama,enggak tahan lama,"['enggak', 'tahan', 'lama']","['enggak', 'tahan', 'lama']",enggak tahan lama,0
baru mw coba semoga bermanfaat  unt kulit sy yg kering terima kasih seller,baru mw coba semoga bermanfaat unt kulit sy yg kering terima kasih seller,baru mau coba semoga bermanfaat unt kulit saya yang kering terima kasih seller,"['baru', 'mau', 'coba', 'semoga', 'bermanfaat', 'unt', 'kulit', 'saya', 'yang', 'kering', 'terima', 'kasih', 'seller']","['baru', 'mau', 'coba', 'semoga', 'bermanfaat', 'unt', 'kulit', 'kering', 'terima', 'kasih', 'seller']",baru mau coba semoga bermanfaat unt kulit kering terima kasih seller,2
masalah kulitku pori besar & tipe kulitku berminyak semoga cocok untuk pemakaian 2x seminggu,masalah kulitku pori besar tipe kulitku berminyak semoga cocok untuk pemakaian seminggu,masalah kulitku pori besar tipe kulitku berminyak semoga cocok untuk pemakaian seminggu,"['masalah', 'kulitku', 'pori', 'besar', 'tipe', 'kulitku', 'berminyak', 'semoga', 'cocok', 'untuk', 'pemakaian', 'seminggu']","['masalah', 'kulitku', 'pori', 'besar', 'tipe', 'kulitku', 'berminyak', 'semoga', 'cocok', 'pemakaian', 'seminggu']",masalah kulitku pori besar tipe kulitku berminyak semoga cocok pemakaian seminggu,0
masalah kulitku pori besar dan semoga cocok untuk pemakaian pagi dan mlm,masalah kulitku pori besar dan semoga cocok untuk pemakaian pagi dan mlm,masalah kulitku pori besar dan semoga cocok untuk pemakaian pagi dan malam,"['masalah', 'kulitku', 'pori', 'besar', 'dan', 'semoga', 'cocok', 'untuk', 'pemakaian', 'pagi', 'dan', 'malam']","['masalah', 'kulitku', 'pori', 'besar', 'semoga', 'cocok', 'pemakaian', 'pagi', 'malam']",masalah kulitku pori besar semoga cocok pemakaian pagi malam,0
cakep,cakep,cakep,['cakep'],['cakep'],cakep,0
